List,Method,Joules,milliSeconds
ArrayList,add,12.0464,701
ArrayList,remove,286.8151,25810
ArrayList,addAll,10.9094,648
ArrayList,contains,1970.9064,195324
ArrayList,removeAll,6240.3017,616088
ArrayList,iterator,11.0537,635
ArrayList,containsAll,185.4605,17164
ArrayList,toArray,10.7242,612
ArrayList,clear,11.6159,740
ArrayList,retainAll,4165.0922,415147
ArrayList,addI,308.6728,28059
ArrayList,addAlli,10.1839,615
ArrayList,get,10.9069,616
ArrayList,indexOf,12.3355,752
ArrayList,lastIndexOf,387.2730,36766
ArrayList,set,11.5278,653
ArrayList,sublist,10.9601,611
ArrayList,listIterator,10.6885,611
ArrayList,listIteratori,11.5547,640
ArrayList,removei,264.0750,23596
ArrayList,iterateAll,11.4806,659
AttributeList,add,12.7195,707
AttributeList,remove,289.7602,26253
AttributeList,addAll,11.3724,641
AttributeList,contains,1952.7448,191984
AttributeList,removeAll,6254.3095,619221
AttributeList,iterator,10.9354,629
AttributeList,containsAll,185.8306,17224
AttributeList,toArray,11.5362,642
AttributeList,clear,11.7247,730
AttributeList,retainAll,4108.4192,409992
AttributeList,addI,308.4402,28070
AttributeList,addAlli,10.5913,622
AttributeList,get,11.4765,625
AttributeList,indexOf,12.5442,752
AttributeList,lastIndexOf,388.6052,37032
AttributeList,set,10.7694,647
AttributeList,sublist,10.7711,636
AttributeList,listIterator,11.4602,631
AttributeList,listIteratori,11.8432,618
AttributeList,removei,264.7749,23789
AttributeList,iterateAll,11.3767,646
CopyOnWriteArrayList,add,1192.1624,116076
CopyOnWriteArrayList,remove,1382.3727,130720
CopyOnWriteArrayList,addAll,11.9216,660
CopyOnWriteArrayList,contains,1979.2615,195337
CopyOnWriteArrayList,removeAll,7633.4344,756859
CopyOnWriteArrayList,iterator,10.6816,624
CopyOnWriteArrayList,containsAll,199.4027,18557
CopyOnWriteArrayList,toArray,10.4389,628
CopyOnWriteArrayList,clear,12.0538,732
CopyOnWriteArrayList,retainAll,4285.7077,426197
CopyOnWriteArrayList,addI,1347.1859,128466
CopyOnWriteArrayList,addAlli,10.5091,634
CopyOnWriteArrayList,get,10.7958,629
CopyOnWriteArrayList,indexOf,12.4852,751
CopyOnWriteArrayList,lastIndexOf,387.0817,37231
CopyOnWriteArrayList,set,1107.5213,107726
CopyOnWriteArrayList,sublist,11.1858,622
CopyOnWriteArrayList,listIterator,11.4474,657
CopyOnWriteArrayList,listIteratori,10.8368,629
CopyOnWriteArrayList,removei,1193.7827,113704
CopyOnWriteArrayList,iterateAll,10.8094,646
LinkedList,add,13.1935,728
LinkedList,remove,11.2295,639
LinkedList,addAll,14.2490,817
LinkedList,contains,2466.3537,239826
LinkedList,removeAll,6031.4099,600757
LinkedList,iterator,11.9186,694
LinkedList,containsAll,270.4051,24800
LinkedList,toArray,14.5166,796
LinkedList,clear,12.0858,742
LinkedList,retainAll,4046.2904,402778
LinkedList,addI,190.3535,18902
LinkedList,addAlli,14.0827,834
LinkedList,get,81.1299,8346
LinkedList,indexOf,13.0304,824
LinkedList,lastIndexOf,489.1250,46240
LinkedList,set,81.0687,8381
LinkedList,sublist,11.7203,676
LinkedList,listIterator,12.0396,669
LinkedList,listIteratori,12.1197,741
LinkedList,removei,80.0698,8312
LinkedList,iterateAll,12.0847,692
RoleList,add,12.4607,709
RoleList,remove,290.6235,26322
RoleList,addAll,11.3734,637
RoleList,contains,1950.6017,191656
RoleList,removeAll,6240.6818,616568
RoleList,iterator,10.5633,633
RoleList,containsAll,185.9840,17178
RoleList,toArray,10.6314,623
RoleList,clear,11.6814,738
RoleList,retainAll,4125.8655,411737
RoleList,addI,312.4176,28542
RoleList,addAlli,10.4132,613
RoleList,get,11.3632,643
RoleList,indexOf,12.5427,758
RoleList,lastIndexOf,393.5686,37582
RoleList,set,11.5072,655
RoleList,sublist,10.9904,638
RoleList,listIterator,11.3297,629
RoleList,listIteratori,11.1662,622
RoleList,removei,267.6469,24018
RoleList,iterateAll,10.6485,640
RoleUnresolvedList,add,12.3262,706
RoleUnresolvedList,remove,288.9534,26146
RoleUnresolvedList,addAll,11.4211,639
RoleUnresolvedList,contains,1959.7723,193343
RoleUnresolvedList,removeAll,6242.6897,616035
RoleUnresolvedList,iterator,10.0707,622
RoleUnresolvedList,containsAll,186.6167,17244
RoleUnresolvedList,toArray,10.6248,619
RoleUnresolvedList,clear,11.7761,736
RoleUnresolvedList,retainAll,4143.7322,413506
RoleUnresolvedList,addI,313.0971,28577
RoleUnresolvedList,addAlli,10.0168,611
RoleUnresolvedList,get,11.0016,626
RoleUnresolvedList,indexOf,11.8597,750
RoleUnresolvedList,lastIndexOf,390.2053,37104
RoleUnresolvedList,set,11.8232,642
RoleUnresolvedList,sublist,10.8467,634
RoleUnresolvedList,listIterator,11.2530,630
RoleUnresolvedList,listIteratori,11.3287,643
RoleUnresolvedList,removei,263.0561,23579
RoleUnresolvedList,iterateAll,11.0305,644
Stack,add,11.7879,722
Stack,remove,288.1555,25858
Stack,addAll,10.4004,642
Stack,contains,1957.1560,192235
Stack,removeAll,7481.8537,741031
Stack,iterator,10.9189,653
Stack,containsAll,187.1497,17239
Stack,toArray,10.6683,614
Stack,clear,12.2983,736
Stack,retainAll,6116.5527,605233
Stack,addI,312.1597,28570
Stack,addAlli,10.0941,615
Stack,get,10.9420,621
Stack,indexOf,12.6218,771
Stack,lastIndexOf,386.6704,37474
Stack,set,11.4580,673
Stack,sublist,11.3011,636
Stack,listIterator,11.3042,623
Stack,listIteratori,10.8977,629
Stack,removei,266.6137,23979
Stack,iterateAll,11.9679,741
Vector,add,11.3576,696
Vector,remove,290.4005,26330
Vector,addAll,10.7678,649
Vector,contains,1968.4488,193401
Vector,removeAll,7491.7295,740725
Vector,iterator,11.3553,643
Vector,containsAll,186.1992,17221
Vector,toArray,11.0372,637
Vector,clear,11.7146,736
Vector,retainAll,6083.4340,606689
Vector,addI,312.8684,28688
Vector,addAlli,10.5229,617
Vector,get,10.7961,616
Vector,indexOf,12.1569,764
Vector,lastIndexOf,386.9537,37475
Vector,set,11.1637,656
Vector,sublist,10.6396,627
Vector,listIterator,10.8957,615
Vector,listIteratori,10.9616,611
Vector,removei,265.2319,23828
Vector,iterateAll,11.3126,737