Map,Method,Joules,milliSeconds
ConcurrentHashMap,clear,32.1467795000008,2086.16666666667
ConcurrentHashMap,containsKey,25.323013166666,1645
ConcurrentHashMap,containsValue,5110.16890466667,602186.5
ConcurrentHashMap,entrySet,26.205337833333,1631.16666666667
ConcurrentHashMap,get,25.4475325,1657.5
ConcurrentHashMap,keySet,26.469658,1653.5
ConcurrentHashMap,put,27.019404166667,1758.83333333333
ConcurrentHashMap,putAll,26.5030771666667,1763.5
ConcurrentHashMap,remove,25.5664648333335,1667.16666666667
ConcurrentHashMap,values,26.3866678333337,1663.33333333333
ConcurrentHashMap,iterateAll,29.012596333333,1930.83333333333
ConcurrentSkipListMap,clear,31.688296,2020.16666666667
ConcurrentSkipListMap,containsKey,27.0268988333334,1707.16666666667
ConcurrentSkipListMap,containsValue,5223.66185483333,602035
ConcurrentSkipListMap,entrySet,26.3432666666667,1629.5
ConcurrentSkipListMap,get,26.8225326666676,1667.66666666667
ConcurrentSkipListMap,keySet,26.1300658333324,1612.83333333333
ConcurrentSkipListMap,put,28.0145414999994,1745.33333333333
ConcurrentSkipListMap,putAll,29.388542333334,2019.5
ConcurrentSkipListMap,remove,26.6545236666667,1694.33333333333
ConcurrentSkipListMap,values,26.637629,1632
ConcurrentSkipListMap,iterateAll,26.431793,1701.33333333333
HashMap,clear,31.6584653333333,1997.33333333333
HashMap,containsKey,33.4751943333334,2056
HashMap,containsValue,5809.99708283333,602006.833333333
HashMap,entrySet,34.2837626666684,2107.5
HashMap,get,33.0372646666668,2059.66666666667
HashMap,keySet,33.2620875000005,2040.83333333333
HashMap,put,34.9659881666666,2167.83333333333
HashMap,putAll,35.0481133333318,2173.5
HashMap,remove,32.320218333333,1972.66666666667
HashMap,values,32.8656158333348,2033.16666666667
HashMap,iterateAll,34.3680878333325,2158.33333333333
Hashtable,clear,31.4659321666659,2009.16666666667
Hashtable,containsKey,27.0329128333336,1615
Hashtable,containsValue,5377.38054166667,602040.166666667
Hashtable,entrySet,27.4266231666661,1636.5
Hashtable,get,26.7896089999995,1603.16666666667
Hashtable,keySet,27.0295156666689,1634.33333333333
Hashtable,put,28.3543241666666,1711.66666666667
Hashtable,putAll,28.0358275000011,1704.33333333333
Hashtable,remove,26.4977698333338,1591
Hashtable,values,26.919563166665,1630.16666666667
Hashtable,iterateAll,27.3897549999989,1700.66666666667
LinkedHashMap,clear,31.7548395,2002.16666666667
LinkedHashMap,containsKey,26.1077143333333,1584.83333333333
LinkedHashMap,containsValue,5719.40709416667,602018.666666667
LinkedHashMap,entrySet,27.301254333334,1624.83333333333
LinkedHashMap,get,27.0924403333338,1604.66666666667
LinkedHashMap,keySet,27.3373768333343,1637.5
LinkedHashMap,put,26.1753053333341,1552.33333333333
LinkedHashMap,putAll,26.2282866666659,1579.5
LinkedHashMap,remove,25.9951353333333,1580.66666666667
LinkedHashMap,values,28.2103273333341,1627.66666666667
LinkedHashMap,iterateAll,27.3926084999985,1654.83333333333
SimpleBindings,clear,31.3524755000011,1978.33333333333
SimpleBindings,containsKey,32.9556881666673,2026.33333333333
SimpleBindings,containsValue,5781.2349855,602022.666666667
SimpleBindings,entrySet,32.9119238333333,2043.16666666667
SimpleBindings,get,33.4062831666646,2061
SimpleBindings,keySet,33.7798231666651,2054.83333333333
SimpleBindings,put,34.3807116666673,2140.83333333333
SimpleBindings,putAll,34.2556281666669,2120.83333333333
SimpleBindings,remove,31.6203739999983,1936.83333333333
SimpleBindings,values,33.3909863333308,2052.16666666667
SimpleBindings,iterateAll,33.7128373333326,2099.66666666667
Properties,clear,31.619771166667,2017.83333333333
Properties,containsKey,26.8886894999996,1633.66666666667
Properties,containsValue,5408.33412933333,602026.166666667
Properties,entrySet,27.1060386666674,1620.66666666667
Properties,get,28.3008371666656,1682.83333333333
Properties,keySet,26.3381829999998,1620.5
Properties,put,28.0086261666668,1731.33333333333
Properties,putAll,27.5977098333339,1682.16666666667
Properties,remove,26.2373351666659,1597.5
Properties,values,26.8990096666663,1620.5
Properties,iterateAll,27.9917856666664,1716.83333333333
TreeMap,clear,32.2024179999995,2015.16666666667
TreeMap,containsKey,24.2985331666678,1539
TreeMap,containsValue,5291.32789616667,602030.833333333
TreeMap,entrySet,23.8756715000006,1477.5
TreeMap,get,25.0432485000019,1545.16666666667
TreeMap,keySet,24.1255343333323,1501.66666666667
TreeMap,put,25.3353651666681,1586.83333333333
TreeMap,putAll,26.6613313333328,1725.16666666667
TreeMap,remove,24.4253108333348,1530
TreeMap,values,24.2967478333339,1477
TreeMap,iterateAll,24.8703793333334,1626.83333333333
UIDefaults,clear,31.6685279999971,2017.66666666667
UIDefaults,containsKey,26.4794211666667,1614.5
UIDefaults,containsValue,5454.69060283333,602028
UIDefaults,entrySet,26.7149146666658,1623.83333333333
UIDefaults,get,26.9510904999988,1600.5
UIDefaults,keySet,27.0168228333332,1617.66666666667
UIDefaults,put,28.5026904999995,1711.83333333333
UIDefaults,putAll,27.4982886666645,1673
UIDefaults,remove,27.166921,1611.83333333333
UIDefaults,values,26.775177333333,1639
UIDefaults,iterateAll,28.1026968333329,1702
WeakHashMap,clear,31.7730356666664,1991.83333333333
WeakHashMap,containsKey,38.1397933333331,2361.5
WeakHashMap,containsValue,5931.25094883333,602054.5
WeakHashMap,entrySet,38.6345675000005,2416.83333333333
WeakHashMap,get,38.2428995000003,2356.83333333333
WeakHashMap,keySet,38.2719240000012,2375.83333333333
WeakHashMap,put,36.0024006666669,2210.66666666667
WeakHashMap,putAll,38.2742359999999,2379.5
WeakHashMap,remove,35.4726536666664,2158.33333333333
WeakHashMap,values,38.9120126666664,2413.16666666667
WeakHashMap,iterateAll,34.275276166667,2250.16666666667